# Master coverage ledger — every Chinese-gov institution we know of + its status.
# status: have | api | spa | blocked | pending. Grown each crawler round.
level,institution,site_key,docs,status,method,limitation
provincial,Guangdong Transport Dept (交通运输厅),gdjt,348,have,crawler,
provincial,Guangdong Health Commission (卫健委),gdwjw,348,have,crawler,
provincial,Guangdong Development & Reform Commission (发改委),gddrc,347,have,crawler,
provincial,福建省粮食和物资储备局,fj_lsj,332,have,crawler,
provincial,福建省经济信息中心,fj_xxzx,328,have,crawler,
provincial,Zhejiang Province (Depts),zj,313,have,crawler,
provincial,Guangdong Commerce Dept (商务厅),gdcom,300,have,crawler,
provincial,Guangdong Culture & Tourism Dept (文旅厅),gdct,300,have,crawler,
provincial,Guangdong Ecology & Environment Dept (生态环境厅),gdee,300,have,crawler,
provincial,Guangdong Civil Affairs Dept (民政厅),gdmz,300,have,crawler,
provincial,Guangdong Science & Tech Dept (科技厅),gdstc,300,have,crawler,
provincial,Guangdong Finance Dept (财政厅),gdczt,299,have,crawler,
provincial,Guangdong Natural Resources Dept (自然资源厅),gdnr,299,have,crawler,
provincial,Guangdong Housing & Construction Dept (住建厅),gdzjst,299,have,crawler,
provincial,Guangdong Industry & IT Dept (工信厅),gdii,296,have,crawler,
provincial,福建省广播电视局,fj_gdj,293,have,crawler,
provincial,福建省科学技术厅,fj_kjt,293,have,crawler,
provincial,福建省审计厅,fj_sjt,271,have,crawler,
provincial,福建省民政厅,fj_mzt,257,have,crawler,
provincial,Guangdong Agriculture & Rural Affairs Dept (农业农村厅),gdny,249,have,crawler,
provincial,福建省工业和信息化厅,fj_gxt,237,have,crawler,
provincial,福建省海洋与渔业局,fj_hyyyj,230,have,crawler,
provincial,福建省发展和改革委员会,fj_fgw,229,have,crawler,
provincial,福建省司法厅,fj_sft,229,have,crawler,
provincial,福建省人民政府国有资产监督管理委员会,fj_gzw,226,have,crawler,
provincial,福建省生态环境厅,fj_sthjt,226,have,crawler,
provincial,福建省国防动员办公室,fj_gdb,224,have,crawler,
provincial,Liaoning Province (辽宁省),liaoning,215,have,crawler,
provincial,福建省人力资源和社会保障厅,fj_rst,211,have,crawler,
provincial,Guangdong Forestry Bureau (林业局),gdlyj,199,have,crawler,
provincial,福建省民族与宗教事务厅,fj_mzzjt,198,have,crawler,
provincial,福建省水利厅,fj_slt,194,have,crawler,
provincial,福建省应急管理厅,fj_yjt,189,have,crawler,
provincial,福建省统计局,fj_tjj,183,have,crawler,
provincial,福建省林业局,fj_lyj,181,have,crawler,
provincial,福建省市场监督管理局(知识产权局),fj_scjgj,179,have,crawler,
provincial,福建省机关事务管理局,fj_jgswglj,175,have,crawler,
provincial,福建省财政厅,fj_czt,173,have,crawler,
provincial,福建省医疗保障局,fj_ybj,173,have,crawler,
provincial,福建省交通运输厅,fj_jtyst,172,have,crawler,
provincial,福建省商务厅,fj_swt,162,have,crawler,
provincial,福建省住房和城乡建设厅,fj_zjt,161,have,crawler,
provincial,福建省卫生健康委员会,fj_wjw,157,have,crawler,
provincial,福建省教育厅,fj_jyt,151,have,crawler,
provincial,Fujian Province (福建省),fujian,144,have,crawler,
provincial,福建省人民政府外事办公室网站,fj_wb,142,have,crawler,
provincial,福建省文化和旅游厅,fj_wlt,139,have,crawler,
provincial,福建省农业农村厅,fj_nynct,136,have,crawler,
provincial,Jilin Province (吉林省),jilin,136,have,crawler,
provincial,中共福建省委机构编制委员会办公室,fj_bb,117,have,crawler,
provincial,福建公安公众服务网,fj_gat,112,have,crawler,
provincial,Guangdong Emergency Management Dept (应急管理厅),gdyjt,100,have,crawler,
provincial,Ningxia Agriculture & Rural Affairs Dept (宁夏农业农村厅),nx_nynct,94,have,crawler,
provincial,Ningxia DRC (宁夏发改委),nx_fzggw,83,have,crawler,
provincial,Tibet Science & Technology Dept (西藏科技厅),xz_sti,83,have,crawler,
provincial,Tibet (西藏自治区),xizang,79,have,crawler,
provincial,重庆市体育局,cq_tyj,77,have,crawler,
provincial,Tibet Commerce Dept (西藏商务厅),xz_swt,73,have,crawler,
provincial,重庆高新技术产业开发区管理委员会,cq_gxq,69,have,crawler,
provincial,Ningxia Culture & Tourism Dept (宁夏文旅厅),nx_whhlyt,69,have,crawler,
provincial,Ningxia Finance Dept (宁夏财政厅),nx_czt,68,have,crawler,
provincial,Guangdong Public Security Dept (公安厅),gdga,67,have,crawler,
provincial,Ningxia Healthcare Security Bureau (宁夏医保局),nx_ylbz,66,have,crawler,
provincial,Ningxia Commerce Dept (宁夏商务厅),nx_dofcom,64,have,crawler,
provincial,重庆市商务委员会,cq_sww,61,have,crawler,
provincial,Ningxia Natural Resources Dept (宁夏自然资源厅),nx_zrzyt,59,have,crawler,
provincial,Ningxia Emergency Management Dept (宁夏应急管理厅),nx_nxyjglt,58,have,crawler,
provincial,Ningxia Justice Dept (宁夏司法厅),nx_sft,58,have,crawler,
provincial,Ningxia Transport Dept (宁夏交通厅),nx_jtt,56,have,crawler,
provincial,Ningxia Industry & IT Dept (宁夏工信厅),nx_gxt,55,have,crawler,
provincial,Ningxia Human Resources & Social Security Dept (宁夏人社厅),nx_hrss,55,have,crawler,
provincial,Tibet Human Resources & Social Security Dept (西藏人社厅),xz_hrss,54,have,crawler,
provincial,Tibet Agriculture & Rural Affairs Dept (西藏农业农村厅),xz_nynct,54,have,crawler,
provincial,Tibet Ethnic Affairs Commission (西藏民委),xz_mw,53,have,crawler,
provincial,Tibet Natural Resources Dept (西藏自然资源厅),xz_zrzyt,53,have,crawler,
provincial,重庆市城市管理局,cq_cgj,51,have,crawler,
provincial,重庆市财政局,cq_czj,51,have,crawler,
provincial,重庆市交通运输委员会,cq_jtysw,51,have,crawler,
provincial,福建省体育局,fj_tyj,50,have,crawler,
provincial,重庆市万盛经济技术开发区管理委员会,cq_ws,49,have,crawler,
provincial,Ningxia Civil Affairs Dept (宁夏民政厅),nx_mca,49,have,crawler,
provincial,Tibet Sports Bureau (西藏体育局),xz_sport,49,have,crawler,
provincial,福建侨网,fj_qb,48,have,crawler,
provincial,Ningxia Housing & Construction Dept (宁夏住建厅),nx_jst,48,have,crawler,
provincial,Ningxia Education Dept (宁夏教育厅),nx_jyt,48,have,crawler,
provincial,重庆市公安局,cq_gaj,47,have,crawler,
provincial,重庆经济技术开发区,cq_jkq,47,have,crawler,
provincial,重庆市统计局,cq_tjj,47,have,crawler,
provincial,重庆市退役军人事务局,cq_tyjrswj,47,have,crawler,
provincial,Tibet DRC (西藏发改委),xz_drc,47,have,crawler,
provincial,重庆市经济和信息化委员会,cq_jjxxw,46,have,crawler,
provincial,重庆市生态环境局,cq_sthjj,46,have,crawler,
provincial,重庆市住房和城乡建设委员会,cq_zfcxjw,46,have,crawler,
provincial,重庆市人民政府口岸和物流办公室,cq_zfkawlb,46,have,crawler,
provincial,重庆市机关事务管理局,cq_jgswj,45,have,crawler,
provincial,重庆市文化和旅游发展委员会,cq_whlyw,45,have,crawler,
provincial,Jiangsu Finance Dept (江苏财政厅),js_czt,45,have,crawler,
provincial,Ningxia (宁夏回族自治区),ningxia,45,have,crawler,
provincial,重庆市农业农村委员会,cq_nyncw,44,have,crawler,
provincial,重庆市应急管理局,cq_yjj,43,have,crawler,
provincial,重庆市国有资产监督管理委员会门户网站,cq_gzw,42,have,crawler,
provincial,重庆市医疗保障局,cq_ylbzj,42,have,crawler,
provincial,Ningxia Ecology & Environment Dept (宁夏生态环境厅),nx_sthjt,42,have,crawler,
provincial,重庆市卫生健康委员会,cq_wsjkw,41,have,crawler,
provincial,重庆市知识产权局,cq_zscqj,41,have,crawler,
provincial,Tibet Water Resources Dept (西藏水利厅),xz_sjt,41,have,crawler,
provincial,重庆市教育委员会,cq_jw,40,have,crawler,
provincial,重庆市林业局,cq_lyj,40,have,crawler,
provincial,重庆市市场监督管理局,cq_scjgj,40,have,crawler,
provincial,重庆市水利局,cq_slj,40,have,crawler,
provincial,福建省信访局,fj_xfj,40,have,crawler,
provincial,Ningxia Science & Technology Dept (宁夏科技厅),nx_kjt,40,have,crawler,
provincial,Ningxia Audit Dept (宁夏审计厅),nx_sjt,40,have,crawler,
provincial,重庆市发展和改革委员会,cq_fzggw,39,have,crawler,
provincial,Tibet Justice Dept (西藏司法厅),xz_sft,38,have,crawler,
provincial,Ningxia Health Commission (宁夏卫健委),nx_wsjkw,37,have,crawler,
provincial,Tibet Culture & Tourism Dept (西藏文旅厅),xz_wlt,37,have,crawler,
provincial,重庆市司法局,cq_sfj,36,have,crawler,
provincial,Tibet Healthcare Security Bureau (西藏医保局),xz_ylbzj,35,have,crawler,
provincial,重庆市民政局,cq_mzj,34,have,crawler,
provincial,重庆市人力资源和社会保障局,cq_rlsbj,33,have,crawler,
provincial,福建省自然资源厅,fj_zrzyt,33,have,crawler,
provincial,Tibet Public Security Dept (西藏公安厅),xz_gat,32,have,crawler,
provincial,Tibet Statistics Bureau (西藏统计局),xz_tjj,32,have,crawler,
provincial,重庆市国防动员办公室,cq_rmfkb,29,have,crawler,
provincial,重庆市地方金融管理局,cq_jrjgj,28,have,crawler,
provincial,Tibet Transport Dept (西藏交通厅),xz_jtt,28,have,crawler,
provincial,重庆市信访办公众信息网,cq_xfb,27,have,crawler,
provincial,重庆市大数据应用发展管理局,cq_dsjj,24,have,crawler,
provincial,Tibet Health Commission (西藏卫健委),xz_wjw,23,have,crawler,
provincial,重庆市供销合作总社,cq_gxhzs,22,have,crawler,
provincial,重庆市民族宗教事务委员会,cq_mzzjw,21,have,crawler,
provincial,重庆市人民政府外事办公室,cq_zfwb,21,have,crawler,
provincial,Tibet Investment Promotion Bureau (西藏投资促进局),xz_tzcjj,20,have,crawler,
provincial,Hunan Province (湖南省),hunan,19,have,crawler,
provincial,Tibet Ecology & Environment Dept (西藏生态环境厅),xz_ee,17,have,crawler,
provincial,Tibet Veterans Affairs Dept (西藏退役军人事务厅),xz_tyjr,16,have,crawler,
provincial,Tibet Civil Affairs Dept (西藏民政厅),xz_mzt,15,have,crawler,
provincial,重庆市广播电视局,cq_gbdsj,13,have,crawler,
provincial,重庆市审计局,cq_sjj,9,have,crawler,
research,China Law Translate,chinalawtranslate,1103,have,crawler,
research,Tsinghua AIIG (清华大学人工智能国际治理研究院),tsinghua_aiig,71,have,crawler,
central,国务院发展研究中心 DRC,drc,0,spa,-,easyui AJAX datagrid; no server-rendered list
central,国家药监局 NMPA,nmpa,0,blocked,-,Aliyun $_ts JS anti-bot WAF
central,国家卫健委 NHC,nhc,0,blocked,-,412 JS-cookie WAF (rotating token)
central,公安部 MPS,mps,0,blocked,-,Jiasule __jsl_clearance JS challenge
central,民政部 MCA,mca,0,blocked,-,DNS SERVFAIL from droplet; domain unresolved
central,人社部 MOHRSS,mohrss,0,blocked,-,Tencent EdgeOne JS cookie challenge
central,住建部 MOHURD,mohurd,0,blocked,-,intermittent WAF + JS-rendered doc list
central,海关总署 GAC,gac,0,blocked,-,policy-section 412 WAF (homepage reachable)
central,中国信通院 CAICT,caict,0,blocked,-,every path 404-fenced to datacenter IP (HIGH VALUE)
media,机器之心 Jiqizhixin,jiqizhixin,0,blocked,-,data-service interstitial to datacenter IPs
media,虎嗅 Huxiu,huxiu,0,api,api-crawl,SSR /article/{aid}.html + JSON articleList API; buildable now
research,北京智源 BAAI,baai,0,spa,-,client-rendered shell
research,上海人工智能实验室 Shanghai AI Lab,shlab,0,spa,-,client-rendered shell
central,国家金融监督管理总局 NFRA,nfra,0,spa,-,SPA shell (215B)
central,中国政府采购网 CCGP,ccgp,0,deferred,govcms-A,crawlable but high-volume low-value tender notices — deferred by choice
central,国家疾控局 NDCPA/CDC,ndcpa,0,spa,-,jQuery zwgk.js JSON-rendered list
central,国家烟草专卖局 STMA,stma,0,blocked,-,"WAF blackholes datacenter IP (site is dialect L, residential would work)"
central,国家铁路局 NRA,nra,0,blocked,-,IPv6 CDN misroutes datacenter IP; alt portal Yundun WAF
central,国家标准委 SAC,sac,0,spa,-,JS-SPA list + JS-rendered article bodies
central,国家信访局 GJXFJ,gjxfj,0,spa,-,wPaginate.js JS-templated list (item.publishUrl)
central,中央党校/行政学院 CCPS,ccps,0,blocked,-,Tencent Cloud WAF 403 to datacenter IP
provincial,河南省 Henan,henan,0,blocked,-,Wangsu/PS-ATL CDN WAF 403 to datacenter IP
provincial,安徽省 Anhui,anhui,0,blocked,-,WZWS WAF 403 reason:GeoBL (Hefei AI/quantum hub — HIGH VALUE)
provincial,山西省 Shanxi,shanxi,0,blocked,-,network blackhole; NOT Mac-reachable → needs CN proxy
provincial,广西 Guangxi,guangxi,0,blocked,-,network blackhole; NOT Mac-reachable → CN proxy
provincial,陕西省 Shaanxi,shaanxi,0,blocked,-,IPv6-only; NOT Mac-reachable → CN proxy (Xi'an chip hub)
provincial,云南省 Yunnan,yunnan,0,blocked,-,WAF-403 to any foreign IP → CN proxy
provincial,四川省 Sichuan,sichuan,0,residential,govcms-R,config built+validated (27 arts); Chengdu AI/chip hub
provincial,河北省 Hebei,hebei,0,residential,govcms-S,"config built+validated (20 arts, UUID dialect)"
provincial,贵州省 Guizhou,guizhou,0,residential,govcms-A,config built+validated (15 arts); big-data hub
provincial,海南省 Hainan,hainan,0,residential,govcms-I,config built (free-trade port)
provincial,新疆 Xinjiang,xinjiang,0,residential,govcms-I,config built
provincial,天津市 Tianjin,tianjin,0,residential,govcms-A,config built but list not std t-date (0 arts) — TODO
provincial,江西省 Jiangxi,jiangxi,0,residential,-,Mac-reachable but list is a JSON API — needs a JSON-list handler (TODO)
